Department or Agency Name,Component Name,Policy Integration Factor Outcome,Acquisition Factor Outcome,Testing and Remediation Factor Outcome,q1componentsize,q2aacpro,q2bproc,q2cconform,q2dremed,q2etrain,q3programs,q4reside,q4aifno,q5fte,q6fte,q7track,q8estimated,q9hrsper,q9apt,q10resource,q11ict,q12policy,q13aICT,q13bICT,q13cICT,q13dICT,q13eICT,q13fICT,q13gICT,q13hICT,q13iICT,q14mandatory,q15mandatory,q16rolespecific,q16aother,q17afund,q17bfund,q17cfund,q18aundue,q18bundue,q18cundue,q19abest,q19best,q19cbest,q20,q21,q22,q23,q24,q25,q26grc,q27consult,q28ahardware,q28bhardware,q28chardware,q28dhardware,q28ehardware,q28fhardware,q29asoftware,q29bsoftware,q29csoftware,q29dsoftware,q29esoftware,q29fsoftware,q30aelec,q30belec,q30celec,q30delec,q30eelec,q30felec,q30gelec,q31aweb,q31bweb,q31cweb,q31dweb,q31eweb,q31fweb,q31gweb,q32aintern,q32bintern,q32cintern,q32dintern,q32eintern,q32fintern,q32gintern,q33,q34,q35,q36
Department of Labor,Bureau of Labor Statistics,Very High,Not Applicable,Not Applicable,"Medium Agencies (1,000-9,999 employees)",No,No,No,No,No,No,,,,,,,N/A- there is no COMPONENT Section 508 program manager,,None of the above,No,,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,No,,None of Above,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,DOL's shared services environment enables activities previously done at the component level to be centralized at the Department.,Please see the Department-level response,No
Department of Labor,Employee Benefits Security Administration,Very High,Not Applicable,Not Applicable,Small Agencies (100-999 employees),No,No,No,No,No,No,,,,,,,N/A- there is no COMPONENT Section 508 program manager,,None of the above,No,,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,No,,None of Above,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Please see Department level response,Please see Department level response,No
Department of Labor,Employment and Training Administration,Very High,Not Applicable,Not Applicable,"Medium Agencies (1,000-9,999 employees)",No,No,No,No,Yes,No,,,,,,,N/A- there is no COMPONENT Section 508 program manager,,Provide training,No,,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,No,,None of Above,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Please see Department-level answers,Please see Department-level answers,No
Department of Labor,Mine Safety and Health Administration,Very High,Not Applicable,Not Applicable,"Medium Agencies (1,000-9,999 employees)",No,No,No,No,No,No,,,,,,,N/A- there is no COMPONENT Section 508 program manager,,None of the above,No,,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,No,,None of Above,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Please see Department level response,Please see Department level response,No
Department of Labor,Occupational Safety and Health Administration,Very High,Not Applicable,Not Applicable,"Medium Agencies (1,000-9,999 employees)",No,No,No,No,No,No,,,,,,,N/A- there is no COMPONENT Section 508 program manager,,None of the above,No,,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,No,,None of Above,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Please see Department level response,Please see Department level response,No
Department of Labor,Office of Federal Contract Compliance Programs,Very High,Not Applicable,Not Applicable,Small Agencies (100-999 employees),No,No,No,No,No,No,,,,,,,N/A- there is no COMPONENT Section 508 program manager,,None of the above,No,,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,No,,None of Above,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Please see Department level response,Please see Department level response,No
Department of Labor,Office of Labor Management Standards,Very High,Not Applicable,Not Applicable,Small Agencies (100-999 employees),No,No,No,No,No,No,,,,,,,N/A- there is no COMPONENT Section 508 program manager,,None of the above,No,,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,No,,None of Above,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Please see Department level response,Please see Department level response,No
Department of Labor,Office of Workers' Compensation Programs,Very High,Not Applicable,Not Applicable,"Medium Agencies (1,000-9,999 employees)",No,No,No,No,No,No,,,,,,,N/A- there is no COMPONENT Section 508 program manager,,None of the above,No,,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,No,,None of Above,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Department of Labor,Veterans' Employment and Training Service,Very High,Not Applicable,Not Applicable,Small Agencies (100-999 employees),No,No,No,No,No,No,,,,,,,N/A- there is no COMPONENT Section 508 program manager,,None of the above,No,,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,No,,None of Above,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Department of Labor,Wage and Hour Division,Very High,Not Applicable,Not Applicable,"Medium Agencies (1,000-9,999 employees)",No,No,No,No,No,No,,,,,,,N/A- there is no COMPONENT Section 508 program manager,,None of the above,No,,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,No,,None of Above,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Department of the Treasury,Alcohol and Tobacco Tax and Trade Bureau ,Very High,Very High,Low,Small Agencies (100-999 employees),Yes,No,Yes,Yes,No,Yes,No,Office of Communications,0.5,0.5,No,,Part time - COMPONENT Section 508 program manager has additional duties and works less than 40 hours per week supporting the agency-wide Section 508 program ,5,"Assist acquisition officials to prepare Section 508 language in ICT contracts,Assist acquisition officials to evaluate Section 508 conformance prior to or after ICT purchase,Assist developers in creating web content or software that complies with Section 508,Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content,Provide alternate formats",Yes,Publicly available ,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,No,,None of Above,,No,0,No,No,0,No,No,0,No,N/A - Component does not procure ICT,N/A - Component does not release solicitations,N/A-Component does not award contracts,N/A-Component does not award contracts,N/A - Component does not procure ICT,N/A-Component does not award contracts,No,N/A - COMPONENT does not have digital services,Yes,No,No,Never (0%),No,Never (0%),Yes,No,No,Never (0%),No,Never (0%),Yes,No,No,,No,Sometimes (11-50%),Sometimes (11-50%),Yes,No,No,Sometimes (11-50%),Yes,Sometimes (11-50%),Often (51-90%),Yes,No,No,Sometimes (11-50%),Yes,Sometimes (11-50%),Often (51-90%),,"We adopted Acquia Optimize, an automated solution that scans for SEO, Accessibility (508 Compliance) and Quality Assurance.",Our team is small and there are frequent updates as well as projects and fixes left over from a large website migration to a new content management system.,
Department of the Treasury,Bureau of Engraving and Printing,High,High,Very High,"Medium Agencies (1,000-9,999 employees)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,,1.5,9,Yes,2167622,Part time - COMPONENT Section 508 program manager has additional duties and works less than 40 hours per week supporting the agency-wide Section 508 program ,20,"Assist acquisition officials to prepare Section 508 language in ICT contracts,Assist acquisition officials to evaluate Section 508 conformance prior to or after ICT purchase,Assist developers in creating web content or software that complies with Section 508,Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content,Evaluate and/or remediate software,Evaluate and/or remediate hardware,Provide training,Provide alternate formats",Yes,"Includes authorities, roles and responsibilities, and expectations,Includes documented processes and procedures for Section 508 conformance testing,Includes documented processes and procedures for Section 508 issues and complaints",Mostly integrated,Mostly integrated,Mostly integrated,Mostly integrated,Mostly integrated,Mostly integrated,Mostly integrated,Mostly integrated,Mostly integrated,No,,"Acquisition professionals,Developers,Document authors,Testers,Web Content Managers",,No,0,Yes,No,0,Yes,No,0,No,Almost always (+90%),Almost always (+90%),Rarely (1-10%),Rarely (1-10%),Sometimes (11-50%),Often (51-90%),Yes,Yes,Yes,Yes,Yes,Almost always (+90%),No,Almost always (+90%),Yes,Yes,Yes,Almost always (+90%),No,Almost always (+90%),Yes,Yes,Yes,Almost always (+90%),No,Almost always (+90%),Almost always (+90%),Yes,Yes,Yes,Almost always (+90%),No,Almost always (+90%),Almost always (+90%),Yes,Yes,Yes,Almost always (+90%),No,Almost always (+90%),Almost always (+90%),48,"Over the past year, the Bureau of Engraving and Printing (BEP) has taken bold, intentional steps to elevate Section 508 compliance from a technical requirement to an enterprise-wide strategic priority. This transformation began with a comprehensive organizational assessment, a detailed gap analysis, and a Capability Maturity Model (CMM) evaluation. These assessments laid a data-informed foundation that helped guide the launch of several high-impact initiatives aligned with BEP’s operational needs and long-term mission.

Strategic Program Development and Roadmap

One of the most significant achievements was the development of a formal Accessibility Strategic Plan, complete with milestones, performance metrics, and accountability mechanisms. This plan now informs every aspect of BEP’s compliance approach—from process design to cultural change—and is integrated into the agency’s broader technology roadmap. BEP also finalized a formal IT508 Policy, institutionalized a governance framework, and implemented a risk-based remediation model that prioritizes efforts based on complexity, urgency, and public exposure. These structures, now being formalized at the OCIO level, provide consistency and strategic alignment across all accessibility decisions.

Expansion of Testing and Technical Capacity

A cornerstone of BEP’s programmatic progress is the establishment of a Trusted Tester team consisting of nine DHS-certified professionals. This internal capability ensures that all ICT assets--including hardware, software, web content, and electronic documents—are rigorously evaluated through manual and automated conformance testing. With this team in place, BEP is able to independently validate accessibility, increase accountability, and enhance technical precision at scale.

Remediation Volume and Timeliness Enhancements

In FY24, BEP processed an average of 141 documents per month, in addition to providing over 40 hours of video captioning, including numerous high and very high complexity files. A structured triage system and SLA-based turnaround standards (2, 7, and 21 business days) were enforced to improve throughput, reduce backlog, and ensure accountability. Monthly and quarterly dashboards now monitor submission volume, turnaround time, and document complexity—bringing increased visibility to program performance.

Tool and Process Expansion

To support scalable, high-quality compliance, BEP expanded its toolkit to include a full suite of industry-standard testing and remediation tools such as Microsoft Accessibility Checker, Adobe Acrobat Pro DC, CommonLook, ANDI, WAVE, Color Contrast Analyzer, JAWS, NVDA, and ZoomText. These tools enable both automated and manual testing across all document and web-based content prior to publication or deployment.

Comprehensive Training and Workforce Development

BEP launched a structured, role-specific training ecosystem to equip staff with practical accessibility skills. This includes 
•        Instructional videos, cheat sheets, and microlearning clips
•        Hands-on training manuals for screen readers (NVDA and JAWS)
•        A monthly training cadence, with twice-monthly sessions: one focused on technical developers (covering ARIA, tab indexing, and accessible interactions, ARIA roles, and dynamic content) and one on Microsoft Office Suite accessibility, covering Word, Excel, PowerPoint, and accessible PDF authoring.

These sessions equip staff with real-world skills and are reinforced with recorded sessions, quick-reference guides, and live support during weekly office hours. for real-time issue resolution.

Inclusive Testing and Internal Engagement

BEP also prioritized inclusive testing by establishing internal accessibility testing workstations equipped with assistive technologies. These environments enable voluntary usability testing by BEP employees with disabilities. Detailed training and scripted scenarios have been developed and ready to be provided to the volunteer BEP employees with disabilities to ensure meaningful, consistent feedback—supporting both compliance and usability.

UI/UX Accessibility Integration

Recognizing the role of inclusive design in accessibility, BEP developed a UI/UX Section 508 Accessibility Playbook, which embeds accessibility principles throughout the design and development lifecycle. This resource ensures that inclusive design is applied proactively from the earliest stages of digital development, including prototyping, interface testing, and deployment.

Centralized Digital Support Infrastructure

To streamline support and improve user experience, BEP launched a centralized Section 508 Accessibility Website that serves as the agency’s digital hub for guidance, training, FAQs, policy updates, and accessibility resources. This effort was further supported by the implementation of an accessibility request intake and tracking platform within Helix, enabling more efficient triage, tracking, and resolution of 508 service requests. A formal 508 Support Group was also established to foster peer collaboration, knowledge sharing, and ongoing improvement.

Measurable Impact and Cultural Shift

Together, these initiatives reflect a meaningful shift from reactive remediation to strategic enablement and digital inclusion. The program’s impact is evident through improved SLA adherence, expanded testing capacity, and increasingly positive stakeholder feedback. Performance dashboards and satisfaction surveys show near-perfect on-time delivery and high levels of engagement from internal teams and leadership.

BEP’s approach to Section 508 compliance has evolved into a model of federal leadership—Strong management team from BEP’s OCIO, anchored in strategic governance, empowered by skilled teams, and reinforced by scalable processes and tools. Through its comprehensive efforts, BEP is not only meeting its federal compliance obligations, it is leading by example in building a digitally inclusive federal agency and raising the bar in accessibility across government.","While the Bureau of Engraving and Printing (BEP) has made considerable progress in advancing Section 508 compliance, several challenges remain that are consistent with the scale and complexity of building a sustainable, enterprise-wide accessibility program.

BEP is actively engaged in creating the foundational framework, designing end-to-end workflows, and developing technical guidance, processes, and tools to support accessibility across all digital assets. However, like many federal components, this work is ongoing and inherently complex. Success requires more than technical fixes; it demands coordinated process development, sustained resource investment, and a significant cultural shift across the organization.

One of the core challenges is the time required to fully operationalize and scale these efforts. Accessibility is not a one-time project, it is a continuous, evolving responsibility. While BEP is in the process of developing strong policies, tools, and training programs, widespread adoption and consistent execution across all business units takes time. Building awareness, changing habits, and institutionalizing inclusive practices across hundreds of stakeholders is a gradual process.

What would be most helpful in overcoming these challenges is continued support for long-term process improvement, dedicated time for training and testing, and recognition that cultural transformation around digital accessibility cannot happen overnight. 

While much has been accomplished, meaningful change in accessibility culture and operations requires sustained effort, patience, and system-wide reinforcement.","Yes. In closing, BEP would emphasize that accessibility is not simply a compliance requirement—it is a fundamental value embedded in our mission to serve all people equitably. Our Section 508 program continues to evolve as a strategic, cross-cutting initiative that supports digital inclusion, operational excellence, and people trust.

We are proud of the strong foundation we’ve built—comprising of a dedicated management team, skilled Trusted Tester team, structured governance, robust training, and scalable tools. At the same time, we recognize that true accessibility maturity requires ongoing commitment, collaboration, and cultural transformation. BEP welcomes continued engagement with Treasury leadership and other federal partners to share knowledge, align strategies, and champion a unified, accessible digital experience across government.

We remain steadfast in our mission to lead by example and raise the standard for digital accessibility—delivering solutions that are not only compliant but truly usable for all."
Department of the Treasury,Comptroller of the Currency,High,Very High,Very High,"Medium Agencies (1,000-9,999 employees)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,,1.5,5,Yes,1212120,Part time - COMPONENT Section 508 program manager has additional duties and works less than 40 hours per week supporting the agency-wide Section 508 program ,32,"Assist acquisition officials to prepare Section 508 language in ICT contracts,Assist acquisition officials to evaluate Section 508 conformance prior to or after ICT purchase,Assist developers in creating web content or software that complies with Section 508,Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content,Evaluate and/or remediate software,Evaluate and/or remediate hardware,Provide training",Yes,"Includes authorities, roles and responsibilities, and expectations,Includes documented processes and procedures for Section 508 conformance testing,Includes documented processes and procedures for Section 508 issues and complaints",Fully integrated,Somewhat integrated,Fully integrated,Fully integrated,Somewhat integrated,Fully integrated,Fully integrated,Somewhat integrated,Somewhat integrated,Yes,One-time requirement such as part of employee onboarding,None of Above,,No,0,Yes,No,0,No,Yes,250,No,Almost always (+90%),Almost always (+90%),Almost always (+90%),Almost always (+90%),Almost always (+90%),Rarely (1-10%),No,Yes,No,No,Yes,Almost always (+90%),Yes,Almost always (+90%),No,No,Yes,Almost always (+90%),Yes,Almost always (+90%),Yes,Yes,Yes,Almost always (+90%),Yes,Almost always (+90%),Almost always (+90%),Yes,Yes,Yes,Almost always (+90%),Yes,Almost always (+90%),Almost always (+90%),Yes,Yes,Yes,Almost always (+90%),Yes,Almost always (+90%),Almost always (+90%),84,"Awarded a Section 508 Compliance Support Contract to perform ICT test and evaluation, document remediation, and training.","OPM hiring freeze prevented the OCC from recruiting a permanent Section 508 Program Manager.  It would be helpful to lift the hiring freeze and allow Component to recruit critical staff (especially after staffing shortages caused by DRP). 
",
Department of the Treasury,Treasury Departmental Offices,High,Very High,High,"Medium Agencies (1,000-9,999 employees)",Yes,Yes,Yes,Yes,Yes,No,,,,,,,N/A- there is no COMPONENT Section 508 program manager,,"Assist acquisition officials to prepare Section 508 language in ICT contracts,Assist acquisition officials to evaluate Section 508 conformance prior to or after ICT purchase,Assist developers in creating web content or software that complies with Section 508,Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content,Evaluate and/or remediate software,Evaluate and/or remediate hardware,Provide training,Provide alternate formats",No,,Mostly integrated,Mostly integrated,Mostly integrated,Mostly integrated,Mostly integrated,Mostly integrated,Mostly integrated,Mostly integrated,Mostly integrated,No,,None of Above,,No,0,No,No,0,No,No,0,No,Almost always (+90%),Sometimes (11-50%),Almost always (+90%),Sometimes (11-50%),Almost always (+90%),Almost always (+90%),No,Yes,Yes,Yes,Yes,Almost always (+90%),Yes,Often (51-90%),Yes,Yes,No,Often (51-90%),No,Often (51-90%),Yes,Yes,Yes,Often (51-90%),No,Often (51-90%),Often (51-90%),Yes,Yes,Yes,Often (51-90%),No,Rarely (1-10%),Almost always (+90%),Yes,Yes,No,Often (51-90%),No,Almost always (+90%),Never (0%),17,,,
Department of the Treasury,Federal Financing Bank,Very High,Not Applicable,Not Applicable,Very Small Agencies (<100 employees),No,No,No,No,No,No,No,N/A,,,,,N/A- there is no COMPONENT Section 508 program manager,,None of the above,No,None of the above,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,N/A - Component does not perform or have policies related to this function,No,One-time requirement such as part of employee onboarding,None of Above,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,N/A,N/A,N
Department of the Treasury,Financial Crimes Enforcement Network,Very High,Not Applicable,Very High,Small Agencies (100-999 employees),No,Yes,Yes,Yes,Yes,Yes,Yes,,2,1,Yes,81000,Part time - COMPONENT Section 508 program manager has additional duties and works less than 40 hours per week supporting the agency-wide Section 508 program ,4,"Assist acquisition officials to prepare Section 508 language in ICT contracts,Assist acquisition officials to evaluate Section 508 conformance prior to or after ICT purchase,Assist developers in creating web content or software that complies with Section 508,Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content,Evaluate and/or remediate software,Evaluate and/or remediate hardware,Provide training,Provide alternate formats",Yes,"Publicly available ,Includes authorities, roles and responsibilities, and expectations,Includes documented processes and procedures for Section 508 conformance testing,Includes documented processes and procedures for Section 508 issues and complaints",Fully integrated,Fully integrated,Fully integrated,Fully integrated,Fully integrated,Fully integrated,Fully integrated,Fully integrated,Fully integrated,Yes,One-time requirement such as part of employee onboarding,"Document authors,Web Content Managers",,No,0,No,No,0,No,No,0,No,N/A - Component does not procure ICT,N/A - Component does not release solicitations,N/A-Component does not award contracts,N/A-Component does not award contracts,N/A - Component does not procure ICT,N/A-Component does not award contracts,No,Yes,Yes,Yes,Yes,Almost always (+90%),No,Almost always (+90%),Yes,Yes,Yes,Almost always (+90%),No,Almost always (+90%),Yes,Yes,Yes,Almost always (+90%),No,Almost always (+90%),Almost always (+90%),Yes,Yes,Yes,Almost always (+90%),No,Almost always (+90%),Almost always (+90%),Yes,Yes,Yes,Almost always (+90%),No,Almost always (+90%),Almost always (+90%),16,,,
Department of the Treasury,Fiscal Service,High,Very High,Very Low,"Medium Agencies (1,000-9,999 employees)",Yes,Yes,Yes,Yes,No,Yes,No,Office of Customer Experience Management,0.5,0.5,Yes,125000,Part time - COMPONENT Section 508 program manager has additional duties and works less than 40 hours per week supporting the agency-wide Section 508 program ,2,"Assist acquisition officials to prepare Section 508 language in ICT contracts,Assist acquisition officials to evaluate Section 508 conformance prior to or after ICT purchase,Assist developers in creating web content or software that complies with Section 508,Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content,Provide alternate formats",Yes,"Publicly available ,Includes authorities, roles and responsibilities, and expectations,Includes documented processes and procedures for Section 508 issues and complaints",Mostly integrated,Fully integrated,Mostly integrated,Moderately integrated,Moderately integrated,Moderately integrated,Mostly integrated,Moderately integrated,Fully integrated,No,,None of Above,,Yes,10,No,Yes,10,No,Yes,10,No,Almost always (+90%),Almost always (+90%),Almost always (+90%),Rarely (1-10%),Almost always (+90%),Almost always (+90%),Yes,No,No,No,No,,No,Sometimes (11-50%),No,No,No,Sometimes (11-50%),No,Sometimes (11-50%),Yes,No,No,,No,Often (51-90%),Sometimes (11-50%),Yes,No,No,Almost always (+90%),No,Often (51-90%),Sometimes (11-50%),No,No,No,Sometimes (11-50%),No,Rarely (1-10%),Rarely (1-10%),10,Increased diligence with respect to close captioning all videos posted on the public websites. Review of the websites using Monsido software to detect 508 issues.,Lack of funding and resources devoted to 508 compliance.   More funding and resources would be helpful,Glad for the shorter questionnaire this year.
Department of the Treasury,Internal Revenue Service,Moderate,Moderate,Low,"Large Agencies (10,000-74,999 employees)",Yes,Yes,Yes,Yes,Yes,Yes,No,Associate Chief Information Office,18,9,Yes,3400000,Full time - COMPONENT Section 508 program manager works 40 hours per week fully dedicated to supporting the agency-wide Section 508 program,,"Assist acquisition officials to prepare Section 508 language in ICT contracts,Assist acquisition officials to evaluate Section 508 conformance prior to or after ICT purchase,Assist developers in creating web content or software that complies with Section 508,Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content,Evaluate and/or remediate software,Evaluate and/or remediate hardware,Provide training,Provide alternate formats",Yes,"Publicly available ,Includes authorities, roles and responsibilities, and expectations,Includes documented processes and procedures for Section 508 issues and complaints",Moderately integrated,Moderately integrated,Moderately integrated,Moderately integrated,Moderately integrated,Somewhat integrated,Moderately integrated,Moderately integrated,Somewhat integrated,No,,Other ,As needed basis,No,0,No,No,0,No,No,0,No,Rarely (1-10%),Often (51-90%),Sometimes (11-50%),Often (51-90%),Rarely (1-10%),Rarely (1-10%),Yes,Yes,No,No,No,,No,Sometimes (11-50%),No,No,No,,No,Sometimes (11-50%),No,No,No,,Yes,Almost always (+90%),Often (51-90%),No,No,No,,No,Almost always (+90%),Often (51-90%),No,No,No,,No,Often (51-90%),Almost always (+90%),203,"Developed automated standardized assessment intake process which, based on requestors responses to baseline questions, will provide consistent and repeatable compliance score/response. FTE now focused on validation and assisting programs to work through compliance mitigation.","•	Mass exodus of IRS personnel to include a reduction of 508 Program staff by 30% and loss of 2 support contract task order for an additional 70% cut in support personnel.
•	Excessive Barriers for 508 Program Teams or internal developers to readily use Online, Browser extensions, or automated scanning tools to evaluate web and web content accessibility – there should be standardized tools recommended for secured Federal use.","•        As a large Component, formally responding to the Department or Agency tab questions will help the Section 508 Program Manager effectively assess, augment, collaborate, report, and monitor program maturity. Although more questions would take more time, in the past, Departments had to respond to >100 questions twice annually but there was sufficient data to monitor and identify maturity gaps. 
•        Consolidating questions may help with the number of Assessment questions but it does not reduce the number of stakeholders. As a Component, there is additional time to separate, track and consolidate responses from multiple stakeholders for consolidated questions.
•        Please always provide a crosswalk of the previous year’s Assessment when making changes to the current year Assessment to help Departments and Components seamlessly report on program maturity, data trends or identify gaps for senior leadership.
•        An up-to-date Accessibility Playbook that aligns with program maturity assessments and goals will help Section 508 Program Managers develop a strategic roadmap for alignment and improved service.
•        New terms like, “adaptive devices”, should be defined and listed on the Section508.gov Glossary of Section 508 Terms Webpage, or maintain the use of official terms like “assistive technology” for consistency.
•        Thank you for providing Potential Gaps; Recommended Inclusions; and Recommended Policy Language for Policy Subtypes. Adding Policy Subtypes to Assessment questions would provide valuable insight in support of IT governance and validate accessibility requirements are incorporated into IT Lifecycle policies and procedures."
Department of the Treasury,United States Mint,High,Very High,Low,"Medium Agencies (1,000-9,999 employees)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,,3,3,Yes,225000,Part time - COMPONENT Section 508 program manager has additional duties and works less than 40 hours per week supporting the agency-wide Section 508 program ,7,"Assist acquisition officials to evaluate Section 508 conformance prior to or after ICT purchase,Create or remediate electronic documents to comply with Section 508,Evaluate and/or remediate web content,Evaluate and/or remediate software,Evaluate and/or remediate hardware,Provide training,Provide alternate formats",No,,Mostly integrated,Mostly integrated,Mostly integrated,Mostly integrated,Mostly integrated,Moderately integrated,Mostly integrated,Moderately integrated,Moderately integrated,No,,None of Above,,Yes,0,No,Yes,0,No,Yes,0,No,Often (51-90%),Almost always (+90%),Almost always (+90%),Almost always (+90%),Sometimes (11-50%),Often (51-90%),No,Yes,Yes,No,No,,No,Rarely (1-10%),Yes,No,No,,No,Rarely (1-10%),Yes,No,No,,No,Often (51-90%),Rarely (1-10%),Yes,No,No,,No,Often (51-90%),Rarely (1-10%),Yes,No,No,,No,Rarely (1-10%),Often (51-90%),9,"Upgrading/Updating our coding software for developers for the most up-to-date standards in compliance for software development,
Upgrading our compliance scan software and configuring the issue detection for more accurate responses on our sites' compliancy.","Resources with dedicated time towards proper review of acquisitions/procurement 508 conformance.
Identifying specialized 508 training for FTE resources.
Finaling a US Mint Section 508 policy ",N/A
